はまなすアート＆ミュージック・プロダクション,http://www.hamanasuart.com
石狩たんぽぽ認定こども園,http://istanpopo.jp
ひとまちつなぎ石狩,https://blog.canpan.info/hitomachi3213/
くるくるネット,http://www.kuru2.net/
ミナミナの会,https://minaminanokai.wixsite.com/mysite
岩内美術振興協会,https://www.kidakinjiro.com/
ともに,https://www.npo-tomoni.com/
はこだて音の視覚化研究会,http://hakomimi.net/
げんき,https://skip-kagura.com/
室蘭文化センター,http://www.kujiran.net/culture/index.html
枝幸三笠山スポーツクラブ,http://www.emsc.npo-emsc.net
ＰＣＮＥＴ,http://www.pcnetjapan.jp/npopcnet/
山部まちおこしネットワーク,http://furano-yamabe-machinet.com
中空知成年後見センター,https://nakasora-kouken.org/
教育プラットフォーム北海道,http://blog.canpan.info/career_asunet/
ほっとらんど,http://npo-hotland.com/
運動発達支援協会Latenz,http://latenz.jp
NPOえびす,http://yebisu-npo.jimdo.com
東北海道スポーツコミッション,http://ehsc.jp
深川市公私連携保育会,https://www.f-koushi.org
オホーツク自然・文化ネットワーク,https://www.o-nature-culture.net/
ＮＰＯ法人ちえのわ,https://tunagarichienowa.wixsite.com/chienowa
特定非営利活動法人あおもりＮＰＯサポートセンター,http://www.a-nponet.jp
特定非営利活動法人わっしょい,http://wasshoi6doragon8.web.fc2.com/
特定非営利活動法人おおせっからんど,http://oosekka.com
特定非営利活動法人harappa,http://harappa-h.org
特定非営利活動法人おいらせサポートハウスＫの家,http://npoknoie.wixsite.com/knoie
特定非営利活動法人弘前キッズバドミントンクラブ,http://kidsbad-id.hp.infoseek.co.jp
特定非営利活動法人地域情報化モデル研究会,https://www.facebook.com/cimforum/
特定非営利活動法人あおもりラジオくらぶ,http://www.aoradi.com
特定非営利活動法人アセット,http://npo-asett.jp/
特定非営利活動法人日本人財発掘育成協会,https://www.jinzai-japan.com
特定非営利活動法人はちのへ未来ネット,http://www7.ocn.ne.jp/~hmn/index.htm
花巻文化村協議会,http://www13.plala.or.jp/hbmk/
さんりく・こすもす,http://cosumosu.wp.xdomain.jp/
